pressure, temperature, conductivity, salinity, fluorescence, PAR/Irradience, Turbidity, Scan Count, Density, CDOM, Flag
      1.318 ,   15.6702 ,42.906904 ,  34.3967 ,   0.1064,3.9499e+02,    0.3788  ,       1,  1025.3640,     0.0672, 0.000e+00
      1.318 ,   15.6714 ,42.915350 ,  34.4033 ,   0.1064,3.9932e+02,    0.3789  ,       2,  1025.3688,     0.0678, 0.000e+00
      1.337 ,   15.6477 ,42.911907 ,  34.4209 ,   0.1066,3.6266e+02,    0.3830  ,       3,  1025.3877,     0.0692, 0.000e+00
      1.356 ,   15.6183 ,42.916844 ,  34.4510 ,   0.1065,3.5553e+02,    0.3831  ,       4,  1025.4177,     0.0674, 0.000e+00
      1.368 ,   15.6097 ,42.918129 ,  34.4597 ,   0.1078,3.8035e+02,    0.3803  ,       5,  1025.4263,     0.0660, 0.000e+00
      1.362 ,   15.6130 ,42.931374 ,  34.4687 ,   0.1079,3.7072e+02,    0.3803  ,       6,  1025.4325,     0.0666, 0.000e+00
      1.352 ,   15.6028 ,42.937120 ,  34.4828 ,   0.1059,4.2272e+02,    0.3813  ,       7,  1025.4455,     0.0680, 0.000e+00
      1.343 ,   15.6059 ,42.932861 ,  34.4762 ,   0.1056,3.9771e+02,    0.3819  ,       8,  1025.4398,     0.0662, 0.000e+00
      1.343 ,   15.6086 ,42.939890 ,  34.4802 ,   0.1081,3.7755e+02,    0.3829  ,       9,  1025.4422,     0.0664, 0.000e+00
      1.346 ,   15.6004 ,42.949083 ,  34.4956 ,   0.1081,4.0150e+02,    0.3830  ,      10,  1025.4559,     0.0661, 0.000e+00
      1.356 ,   15.5924 ,42.948138 ,  34.5018 ,   0.1057,3.5647e+02,    0.3846  ,      11,  1025.4626,     0.0667, 0.000e+00
      1.362 ,   15.5921 ,42.939622 ,  34.4944 ,   0.1062,3.8479e+02,    0.3842  ,      12,  1025.4570,     0.0684, 0.000e+00
      1.365 ,   15.5991 ,42.945366 ,  34.4934 ,   0.1055,3.7504e+02,    0.3807  ,      13,  1025.4546,     0.0681, 0.000e+00
      1.362 ,   15.5979 ,42.954356 ,  34.5025 ,   0.1057,3.8962e+02,    0.3809  ,      14,  1025.4619,     0.0690, 0.000e+00
      1.356 ,   15.5997 ,42.960845 ,  34.5068 ,   0.1076,3.8519e+02,    0.3880  ,      15,  1025.4648,     0.0671, 0.000e+00
      1.352 ,   15.6028 ,42.960574 ,  34.5038 ,   0.1069,3.7769e+02,    0.3879  ,      16,  1025.4618,     0.0661, 0.000e+00
      1.356 ,   15.6042 ,42.964427 ,  34.5060 ,   0.1073,3.8303e+02,    0.3831  ,      17,  1025.4632,     0.0674, 0.000e+00
      1.356 ,   15.6061 ,42.968889 ,  34.5084 ,   0.1071,3.8350e+02,    0.3830  ,      18,  1025.4645,     0.0675, 0.000e+00
      1.350 ,   15.6114 ,42.961181 ,  34.4968 ,   0.1069,3.8709e+02,    0.3787  ,      19,  1025.4544,     0.0687, 0.000e+00
      1.352 ,   15.6191 ,42.967602 ,  34.4959 ,   0.1069,3.8900e+02,    0.3787  ,      20,  1025.4520,     0.0686, 0.000e+00
      1.350 ,   15.6197 ,42.969630 ,  34.4972 ,   0.1058,3.8283e+02,    0.3828  ,      21,  1025.4529,     0.0667, 0.000e+00
      1.346 ,   15.6197 ,42.976594 ,  34.5034 ,   0.1056,3.8276e+02,    0.3828  ,      22,  1025.4577,     0.0674, 0.000e+00
